; 的
grr 奓
grs 砥
grs 矽
grs 尥
gry 硊
gry 砲
grz 鸸
gs 太
gsc 砫
gse 碎
gsj 碚
gsl 碲
gsm 礅
gsn 硫
gso 飙
gsr 袭
gss 磅
gss 猋
gsu 砬
gsw 态
gsz 磙
gtg 矿
gub 磋
guh 磷
guk 碰
guk 劂
gul 盔
guo 灰
gur 厥
gur 鹩
gux 磏
guz 磁
gv 有
gv 磲
gwb 硿
gwd 碇
gwk 碹
gwl 碥
gwm 牵
gwr 砣
gwy 碗
gwz 恧
gxb 硁
gxf 磉
gxg 砄
gxh 碾
gxh 厩
gxi 破
gxk 碌
gxo 硍
gxs 友
gxu 磴
gxv 码
gyg 顾
gym 历
gym 夯
gyn 砩
gyo 砀
gyy 厄
gyz 夷
gzm 耍
gzn 雄
gzp 碜
gzy 孬
gzy 翃
gzz 础
h 到
h' 成为
h/ 成为
h; 成
haa 臣
haa 匚
hae 轩
haj 咸
haj 轲
hak 辐
hal 觱
haw 感
haz 威
hba 至
hbi 式
hbl 贰
hbr 辕
hbs 转
hby 郅
hcg 辏
hcl 赜
hcm 臻
hcv 匡
hcz 辄
hda 七
hea 车
heb 甙
hej 匿
hej 轱
hew 慝
hez 轧
hfb 辅
hfo 辆
hgd 戎
hgo 顷
hgo 颐
hgr 尧
hgy 翘
hgy 轭
hh 年
hh 轼
hh 轾
hh 匦
hh 臸
hia 牙
hia 㐄
hid 卧
hij 蹙
hik 戚
hix 轳
hiy 邪
hja 或
hjc 辑
hjl 匮
hjo 轵
hjp 彧
hjv 叵
hjw 惑
hkc 匪
hkd 划
hki 轴
hki 匣
hkl 辒
hko 东
hkr 辊
hkr 鸫
hky 郾
hld 辋
hli 匝
hlk 盏
hm 医
hma 戈
hma 戊
hma 戌
hma 戋
hma 戉
hme 戒
hmn 轿
hmo 致
hmo 轶
hms 戍
hmu 轷
hmy 翳
hmz 繄
hni 雅
ho 欧
hoc 辁
hoj 匼
hok 输
hop 轸
hoq 殴
hor 轮
hor 鸥
hos 区
hos 瓯
hp 匠
hpb 堑
hpd 斩
hpf 椠
hpk 暂
hpp 錾
hpy 辀
hqy 轨
hra 旡
hrb 坒
hrd 匹
hre 毕
hrj 辂
hrk 轹
hrm 毖
hrn 皆
hro 软
hrr 比
hrr 毙
hrv 炁
hrz 鸦
hrz 鸢
hsa 弋
hsk 辌
hsm 辙
hso 较
htr 辘
huh 辚
hv 好
hwj 辖
hwl 匾
hwz 忒
hxb 轻
hxh 辗
hxv 巨
hxx 轰
hxx 辍
hyd 切
hyi 匜
hyj 轺
hyl 盛
hys 轫
hyv 熙
hzg 顿
hzh 臧
hzi 屯
hzk 辎
hzy 邨
i 上
i' 上海
i/ 上海
i; 点
iaa 虫
iaa 凸
iaa 丨
iaa 亅
iab 芈
iae 虷
iai 卡
iai 虾
iaj 蚵
iak 蝠
ial 督
ias 甗
iau 蚲
iaw 忐
iax 叔
ibb 蛙
ibi 虹
ibj 龉
ibo 蚨
ibp 蟛
ibu 蛱
iby 蜐
ici 蚌
icm 螓
ico 蝽
icq 蜻
ida 卜
idj 占
ieb 蚶
iec 蜞
iee 蟒
ief 蝶
ief 螨
ief 蝾
ieg 蟆
ieg 蠓
iej 蛄
iek 蜡
iek 螬
iel 蝻
ieo 蟥
ieo 蟏
ieq 蝴
ies 蠛
iex 歧
iex 蠖
ifb 螵
ife 蟫
ifg 蠕
ifk 蝲
ifo 蛃
ifp 蜥
ifw 蟪
igb 蝰
igk 螈
igk 劇
igy 蛎
iha 虐
iha 蜮
iha 虍
ihb 蛭
ihg 蛲
ihi 蚜
ihk 歳
ihn 雌
ihr 蚍
ihz 蝘
iia 止
iiq 肯
iir 龇
ijb 鹾
ijg 虞
ijg 蜈
ijh 战
iji 龊
ijj 蛔
ijl 觇
ijo 卤
ijo 蜗
ijq 蜎
ijs 蝈
ijx 卣
ijz 蝇
ijz 乩
ikb 螳
ike 卓
ike 颦
ikf 桌
ikf 蜾
ikg 频
iki 蚰
ikk 蛐
ikl 觑
ikl 蛳
iko 步
iko 蜴
ikq 蛸
ikr 蝎
iku 虚
ikv 旧
ikz 螺
ilb 蚺
ilc 蛆
ilc 龃
ili 蠋
ilj 蜩
ilk 蛊
ilo 贞
ilo 蚋
ilr 蚬
ilx 蠼
ime 蝌
imh 蚝
imi 蚱
imi 蛞
imj 蜘
imk 蛛
imk 蜊
iml 龋
imr 蝮
ims 蛾
imy 虼
imy 龁
inc 蝗
ine 蜱
inw 螅
inx 螋
ioa 齿
ioj 蛤
iok 蝓
iom 蜍
ion 蚧
iow 龄
iow 蛉
ioz 蚣
ipd 蚯
ipd 龂
ipk 蟠
ipw 蟋
ipy 蜉
iqd 虎
iqd 虮
iqp 彪
iqq 虤
irc 蜂
irf 柴
irg 砦
irg 蟓
irl 赀
irl 觜
iro 餐
irp 鈭
irr 此
irr 龀
irs 蟾
irs 虳
irs 訾
iru 粲
iry 龅
irz 紫
isa 蝏
isc 蛀
ise 蟀
ise 蟑
ish 虻
isn 蛴
iso 虔
iso 蚁
iso 蚊
iso 蛟
iss 螃
isy 螂
isy 蝣
isy 蚄
isz 螭
ite 蚪
itj 螗
itx 蠊
iuc 蛘
iue 蝉
iuf 蝤
iuj 蟮
iul 螠
iur 蜕
iuy 蜷
iuz 蝼
iuz 蜣
iv 些
iwb 壑
iwl 睿
iwl 蝙
iwm 敹
iwo 螟
iwr 蛇
iwy 蜿
iwz 虑
ixb 蛏
ixg 颅
ixh 龌
ixl 蛹
ixm 卢
ixo 龈
ixr 鸬
ixs 攴
ixv 蚂
iya 凹
iyb 蜓
iyi 蜒
iyi 蚓
iyi 蚆
iyj 龆
iyl 蜢
iym 虏
iyr 兕
izm 蛑
izv 虬
izy 蚴
j 中
j' 中国
j/ 中国
j; 国
jaa 口
jaa 〇
jad 吁
jae 趼
jag 吴
jag 呒
jah 嘎
jai 吓
jai 叮
jaj 呵
jak 哑
jak 咧
jal 嗝
jao 哽
jao 饕
jar 嗄
jar 鸮
jau 呯
jaz 号
jbb 哇
jbb 跬
jbd 跱
jbi 啩
jbj 嘻
jbj 唔
jbj 咭
jbj 圄
jbk 味
jbk 嗜
jbk 咺
jbl 嗑
jbl 唝
jbm 啫
jbo 哧
jbo 趺
jbo 呋
jbo 嚇
jbp 嘭
jbr 园
jbu 噎
jbu 圉
jbv 吐
jby 围
jby 嘟
jby 哮
jby 哋
jcb 唪
jcd 踌
jce 咡
jce 哢
jcl 啧
jcm 嗷
jcm 嗪
jcq 圊
jcr 唛
jcs 戢
jcv 呈
jcx 蹑
jcx 嗫
jcy 郢
jcz 嗉
jda 因
jda 囗
jdf 困
jdj 回
jdm 团
jdn 啪
jdp 哳
jds 啦
jds 吋
je 哎
je; 喷
jeb 躇
jeb 咁
jed 叶
jef 喋
jef 蹒
jef 蹀
jei 嚏
jej 固
jej 咕
jej 嗒
jej 喏
jej 嗬
jek 嘈
jek 喵
jel 喃
jem 數
jen 躏
jeo 哄
jeo 嗔
jep 嘶
jeq 嘲
jer 囔
jer 噶
jes 嚆
jex 吱
jey 鄙
jey 唠
jey 呓
jey 嘞
jey 哱
jez 嗦
jfa 喳
jfb 哺
jfb 圃
jfb 噤
jfb 嘌
jff 啉
jff 槑
jfg 嚅
jfj 哂
jfk 喇
jfn 嚯
jfr 嗽
jfv 呆
jga 呸
jgb 喱
jgb 喹
jgb 咗
jgd 蹰
jgj 踦
jgk 嘹
jgk 蹽
jgl 咘
jgm 咙
jgq 囿
jgr 噘
jgr 蹶
jgs 跋
jgs 吠
jgs 啄
jgs 呔
jgu 咴
jgy 呃
jgy 咦
jgy 呖
jgz 跨
jhb 咥
jhc 哐
jhe 哔
jhe 跸
jhg 跷
jhg 哓
jhi 呀
jhj 喊
jhk 嘁
jhl 咂
jhm 践
jhm 曳
jhn 喈
jho 呕
jhr 吡
jhs 啭
jhx 距
jhz 吨
jhz 囤
ji 贵
jia 足
jia 
jid 卟
jie 踔
jig 噱
jig 跖
jii 趾
jii 咔
jik 嘘
jil 嘴
jil 盅
jio 趴
jio 啮
jiq 唬
jiq 啃
jir 呲
jir 跐
jiv 虽
jiw 忠
jj 品
jj' 哈哈
jj; 患
jjd 咽
jje 斝
jjf 躁
jjf 噪
jjg 颚
jji 串
jjj 器
jjj 嚣
jjj 嚚
jjj 嘂
jjl 圆
jjq 咒
jjr 鹗
jjs 哭
jjv 吕
jjw 嗯
jjx 骂
jjy 鄂
jjz 鼍
jk 唱
jkb 哩
jkb 蹚
jkb 嘡
jkc 啡
jkf 踝
jkg 咣
jkh 喂
jki 呻
jki 呷
jkk 踏
jkk 噹
jkk 嚗
jkl 唢
jkm 吵
jko 踢
jkq 哨
jkq 喟
jkr 喝
jku 噗
jku 蹼
jkx 嘬
jkx 嘢
jky 蹋
jkz 喁
jkz 黾
jlc 咀
jld 哃
jlg 喘
jlg 踹
jlg 咉
jlg 圌
jli 吊
jli 躅
jlj 嗣
jlj 啁
jlk 剐
jlo 员
jlo 呐
jlo 呗
jlo 吶
jlo 呙
jlq 蹦
jlq 嘣
jlr 啰
jlr 圜
jlr 哕
jls 圐
jlv 嘿
jly 勋
jly 郧
jlz 嘤
jmb 唾
jmb 踵
jmb 吽
jmf 囷
jmg 跃
jmh 吒
jmi 咋
jmj 踟
jmk 嚟
jml 踽
jml 躜
jmo 跌
jmo 噬
jmr 跣
jms 哦
jmu 呼
jmu 啾
jmy 吃
jmz 踒
jnc 喤
jnd 咐
jnd 跗
jne 啤
jne 哗
jne 嗥
jnf 咻
jng 噢
jnh 唣
jni 唯
jnj 响
jnl 咱
jnm 喉
jns 嗅
jnv 噍
jnx 咿
jnx 嗖
jnz 喺
job 唑
job 圙
jod 囚
jod 嘚
joj 哈
jok 喻
jol 唏
jol 囧
jom 啥
jor 囵
jor 嗲
jos 史
jov 只
jov 叭
jow 囹
jow 呤
jow 唸
jox 吟
joy 吩
joy 嗡
joy 跄
joy 呛
joz 噙
joz 哙
joz 嘦
jpd 听
jpd 嚼
jpf 踩
jpg 蹊
jpk 蹯
jpl 踬
jpn 蹈
jpr 哌
jps 呱
jpx 嗳
jqa 跚
jqd 叽
jqf 跺
jqf 哚
jqr 鹃
jr 吹
jr; 跑
jrd 兄
jrg 唤
jrj 路
jrj 咯
jrk 噜
jrk 蹓
jrk 跞
jrl 啕
jro 吻
jro 囫
jrr 叱
jrr 哆
jrr 鹭
jrs 趵
jrt 图
jrt 咚
jrv 跳
jrw 唿
jry 跪
jry 咆
jrz 鸣
jrz 呜
js 咬
jsb 噇
jse 嚷
jse 啐
jsg 嚎
jsg 蹴
jsj 踣
jsk 喑
jsl 啼
jsl 蹄
jsl 嘀
jsl 蹢
jsm 嗾
jsm 蹾
jsn 跻
jsn 哜
jso 咳
jso 跤
jsq 吭
jsq 唷
jsv 唁
jsw 噫
jsx 踉
jsy 哼
jsy 啷
jsz 唼
jtb 躔
jtf 嘛
jtj 踮
jtx 踱
jub 嗟
jub 蹉
juc 咩
jud 蹲
jue 啴
juf 咪
jui 吖
juk 蹭
juk 噌
jul 嗌
juq 嗍
juu 啖
jux 躞
juy 圈
juy 踯
juz 喽
juz 嗞
jvq 蹐
jvx 啵
jvz 嗨
jwa 咛
jwb 踪
jwb 嚓
jwb 噻
jwd 啶
jwg 哒
jwg 跶
jwh 咤
jwi 蹿
jwj 喀
jwj 嗐
jwk 喧
jwl 嗵
jwl 蹁
jwl 嘧
jwm 跹
jwm 咇
jwn 蹜
jwr 哝
jwr 跎
jws 唳
jwt 嚃
jwv 咏
jwz 恩
jwz 吣
jx 跟
jxf 嗓
jxf 蹂
jxh 喔
jxi 跛
jxj 踞
jxk 唰
jxl 嘱
jxl 踊
jxo 啸
jxo 哏
jxr 呢
jxs 叹
jxs 噼
jxs 呎
jxu 蹬
jxu 噔
jxv 吗
jxx 啜
jxy 唧
jy 啊
jya 叼
jya 囝
jyb 踺
jyd 叨
jyi 吧
jyi 邑
jyi 吔
jyi 吲
jyj 咖
jyj 跏
jyk 别
jym 另
jym 叻
jyo 噀
jys 吸
jys 趿
jyv 叩
jyw 跽
jyy 哪
jyz 吼
jza 咝
jzg 喙
jzi 叫
jzi 嗤
jzj 跆
jzj 咍
jzm 唉
jzm 囡
jzm 哞
jzr 吮
jzr 唆
jzs 哟
jzx 呶
jzy 呦
jzy 呣
jzz 吆
jzz 咄
jzz 躐
k 是
k' 时间
k/ 时间
k; 里
ka 日
kaa 曰
kab 量
kad 旴
kae 旱
kae 旰
kag 昊
kai 町
kal 师
kan 畀
kav 旦
kbb 墅
kbb 畦
kbd 畤
kbj 晤
kbk 昧
kbm 暑
kbn 畊
kbx 野
kby 韪
kbz 尝
kbz 昙
kca 非
kca 韭
kcd 畴
kcf 棐
kci 蜚
kcq 晴
kcv 旺
kcx 最
kd 时
kd 刂
kd 〢
ked 早
kek 暴
keo 暵
kfb 晡
kfg 颗
kfj 晒
kfl 暕
kfo 昺
kfp 晰
kfr 夥
kfv 果
kfv 杲
kg 晨
kgd 尖
kgh 辉
kgj 畸
kgk 尜
kgm 昽
kgn 耀
kgo 题
kgo 昃
kgr 光
kgs 畎
khb 晊
khe 辈
khg 晓
khj 暱
khr 昆
khr 毗
khr 鹍
khy 晟
kia 田
kic 甲
kid 申
kie 由
kie 晫
kih 畏
kiq 胃
kiq 胄
kiy 邮
kiz 累
kj 常
kjb 堂
kjd 冔
kjf 棠
kjh 牚
kjl 赏
kjm 掌
kjr 党
kjs 裳
kkd 曲
kkf 黼
kkg 晃
kkk 晶
kkk 曝
kkk 淼
kkk 尛
kkl 黹
kkl 罍
kks 黻
kku 显
kkv 昌
klb 曙
kld 尚
kle 弊
klg 映
kli 帅
klj 蹩
kll 瞥
klm 敞
klm 敝
klm 氅
klo 晪
klr 鳖
klv 冒
klw 愚
klw 憋
klx 曼
kly 勖
klz 禺
km 省
km; 监
kmc 星
kme 昇
kme 旿
kmh 戥
kmi 昨
kmk 临
kml 览
kmo 畋
kmp 鉴
kmv 曛
kmy 劣
kmz 晦
kne 晔
kni 雀
knj 晌
koa 小
koa ⺌
kob 尘
kod 氼
koj 晗
kol 晞
kom 少
kon 界
kop 畛
kop 昣
koq 肖
kow 昤
kpd 昕
kps 畖
kpx 暖
kpx 暧
kpx 畈
kpx 昄
kqb 曌
kqk 削
kql 盟
kqv 明
kqy 旯
kr 晚
krj 略
krj 晷
krj 昫
krk 剔
kro 易
krr 歇
krr 匙
krr 冕
krr 鹖
krt 昀
krv 晁
krv 煦
kry 昂
kry 曷
kry 昴
krz 鸭
ks 暗
ksb 疃
ksb 曈
kse 曩
kse 暲
ksg 颢
ksi 暶
ksj 暠
ksk 景
ksk 晾
ksm 暾
kso 斐
kso 旻
kso 晐
ksp 影
ksr 裴
ksu 昱
ksy 昉
ksz 昡
ktg 旷
kua 业
kub 畔
kuk 暅
kuo 炅
kus 曦
kuu 晱
kuy 邺
kuz 凿
kv 水
kv 沓
kv 氺
kw 思
kwa 
kwh 晕
kwh 晖
kwk 暄
kwo 暝
kwy 畹
kwz 悲
kwz 晏
kx 当
kx; 坚
kxb 归
kxg 暌
kxh 暐
kxl 贤
kxq 肾
kxr 昵
kxs 竖
kxx 暇
kxz 紧
kyj 昭
kym 男
kyn 曜
kyo 畅
kyp 疁
kyv 照
kyy 翡
kyy 嬲
kyy 翈
kze 昪
kzi 凼
kzr 晙
kzr 畯
kzv 电
l 用
l' 同时
l/ 同时
l; 同
la 盯
laa 目
laa 屿
lad 盱
lae 岍
lai 赋
lai 睫
lai 罡
laj 岢
lak 幅
lar 鹮
lay 眄
lay 翾
lb 睹
lb; 赌
lbb 墨
lbb 睦
lbb 眭
lbd 峙
lbd 崶
lbg 黩
lbj 周
lbj 黠
lbj 峿
lbk 黯
lbk 睐
lbk 崃
lbk 黥
lbk 峘
lbl 瞌
lbm 署
lbn 雕
lbp 黪
lbr 黢
lbr 黟
lbr 崁
lbr 崚
lbs 默
lbu 峡
lbv 黑
lbv 罴
lbx 黔
lby 黝
lby 帏
lbz 罢
lbz 黜
lc 账
lca 且
lcd 帱
lch 帐
lcl 帻
lco 具
lcq 睛
lda 冈
lda 罔
lda 冂
lda 冏
lda 冋
lda 岡
ldb 冉
ldm 财
lds 赇
lef 瞒
lef 嵘
leg 赎
leg 巅
leg 矇
leg 幪
lej 骷
lej 罟
lej 岵
lek 瞄
lel 置
lel 罱
leo 典
ler 嵌
lex 羁
lex 岐
ley 崂
lez 嵁
lfa 嵖
lfb 瞟
lfd 赙
lfe 瞫
lfz 崧
lfz 崾
lgb 崖
lgb 睚
lgd 央
lge 岸
lgg 颛
lgh 赈
lgi 罘
lgj 崎
lgk 瞭
lgk 罽
lgl 盎
lgl 耑
lgm 眬
lgq 贿
lgr 鸯
lgu 炭
lgz 崦
lgz 罨
lhc 眶
lhg 贼
lhi 岈
lhj 嵅
lhk 岽
lhm 贱
lho 岖
lho 眍
lhp 崭
lhx 岠
lhz 盹
lhz 崴
li 贴
lia 巾
lie 罩
lih 巇
lij 帖
lil 帧
lir 眦
ljf 睏
ljj 崓
ljj 崮
ljo 帜
ljr 贶
ljs 帼
ljz 崿
lk 则
lka 四
lka 皿
lka 罒
lkb 瞠
lkc 罪
lkd 刚
lkf 髁
lkg 幌
lki 岫
lki 岬
lkl 帽
lkm 眇
lko 赐
lkq 峭
lkq 睄
lkr 崐
lks 詈
lku 幞
lkw 崽
lkx 幔
lkx 岿
lkz 嵎
lkz 髃
lla 山
lld 岗
lld 峒
llg 岩
lli 髑
llj 赒
lll 罂
lll 屾
lll 赑
lll 瞐
llm 氍
lln 瞿
llp 崟
llr 鹦
llr 岘
llx 矍
llz 婴
lmb 睡
lmh 眊
lmi 岞
lmn 巍
lmn 峤
lmo 败
lmo 帙
lmr 嵊
lms 峨
lmu 瞅
lmw 眨
lmw 贬
lmy 屹
lne 睥
lne 髀
lnf 嵲
lni 崔
lni 帷
lni 睢
lni 雎
lnj 嵬
lnk 帕
lnm 睺
lnr 睨
lnv 瞧
lnx 瞍
lny 嶲
lny 酅
lo 网
loa 贝
lob 赊
lod 内
loj 峪
lok 嵛
lol 睎
lon 骱
loo 肉
loq 崤
lov 睑
lov 崄
low 岭
lox 岑
loy 盼
lpf 睬
lph 瞬
lpj 骺
lpk 幡
lpk 嶓
lpr 嵚
lpx 贩
lqo 岚
lqq 崩
lqs 帆
lqx 骰
lr 罗
lrc 峰
lri 蜀
lri 嶷
lrj 赂
lrj 骼
lrj 岣
lrk 峋
lrk 刿
lrk 罶
lrr 眵
lrs 岁
lrs 瞻
lrs 赡
lrs 骶
lrs 嶦
lrt 峂
lrt 盷
lrv 眺
lrx 睁
lrx 峥
lry 峁
lry 峗
lry 翙
lrz 购
lrz 鹘
lsb 幢
lsb 瞳
lse 幛
lse 嶂
lse 崒
lsj 赔
lsj 嵩
lsk 罚
lsn 瞓
lso 骸
lso 赅
lso 峧
lsx 崀
lsy 崞
lsz 眩
ltb 赃
lub 嵯
lud 嶟
lue 帡
luf 眯
luh 嶙
luh 瞵
luk 赠
luk 罾
luk 嶒
lun 罹
lur 帨
luu 赕
lux 赚
luy 睇
luz 髅
luz 嵝
luz 嵫
lv 见
lv 嵴
lwa 骨
lwa 贮
lwb 崇
lwb 崆
lwj 瞎
lwj 髂
lwl 髋
lwo 瞑
lwo 髌
lwq 髓
lwr 眈
lxb 峄
lxg 睽
lxh 幄
lxi 帔
lxj 崌
lxl 瞩
lxl 嵋
lxm 瞰
lxo 眼
lxt 赆
lxu 瞪
lxu 嶝
lxz 崛
lya 觃
lyh 眠
lyh 岷
lyi 岜
lyk 剀
lyl 觊
lym 助
lyn 矅
lyn 嶍
lyp 髎
lyq 凯
lys 岌
lyy 岂
lyy 屺
lzd 县
lzj 贻
lzj 眙
lzm 眸
lzr 峻
lzr 睃
lzw 悬
lzx 鼎
m 我
m' 我们
m/ 我们
m; 和
maa 矢
maa 丿
maa ⺮
maa 
mac 拜
mad 竽
mae 竿
mae 秆
mae 笄
maf 秣
maj 知
mak 氩
mao 筻
mau 短
mau 秤
mau 舔
mb 等
mba 牛
mba 牜
mba ⺧
mbb 牡
mbd 特
mbd 竺
mbj 告
mbj 秸
mbj 牾
mbm 箸
mbo 筮
mbs 筑
mbt 筠
mbv 壬
mby 筇
mbz 丢
mc 生
mcd 筹
mck 籍
mcl 眚
mcl 箦
mcq 氰
mcq 箐
mda 手
mda 
mdb 箨
mde 箝
mdj 筘
mdk 籀
mdl 看
mdl 箍
mds 毬
mdy 筢
me 垂
mea 千
meb 甜
meb 篝
mec 箕
med 午
meg 犊
meh 舞
mej 牯
mej 穑
mej 箬
mel 稙
meo 簧
meo 稹
mer 氪
mev 升
mex 簸
mey 簕
mf 策
mfa 笨
mfa 禾
mfe 簟
mff 篥
mff 箖
mfj 牺
mfk 香
mfl 箱
mfl 籁
mfl 簠
mfr 簌
mfs 秫
mfw 穗
mgd 夭
mgj 犄
mgk 稽
mgl 嵇
mgl 岙
mgm 笼
mgn 乔
mha 毛
mhc 筐
mhd 乇
mhe 筚
mhf 榘
mhj 箴
mhj 笸
mhk 簪
mhk 篚
mhm 笺
mhr 秕
mhu 箧
mhx 矩
mia 舌
mid 乍
mii 竹
mij 毡
mil 禹
miw 怎
miy 卸
miy 鄅
miz 乱
mj 靠
mjc 程
mjd 氤
mji 种
mjj 稆
mjj 筥
mjk 智
mjl 篑
mjl 筼
mjo 积
mjr 鹄
mjy 郜
mk 利
mka 笪
mkb 重
mkd 刮
mkf 梨
mkf 稞
mki 笛
mkl 篮
mkl 筛
mkl 氲
mkl 馧
mkm 秒
mkm 犁
mkm 馝
mkn 箅
mko 朱
mkq 稍
mkq 筲
mkr 复
mkr 稷
mkr 馥
mku 穙
mkx 筜
mky 甥
mky 邾
mky 馞
ml 制
mlb 缸
mlc 租
mld 筒
mle 算
mle 衄
mlg 缺
mlg 秧
mli 币
mlj 稠
mlk 血
mll 缶
mll 氙
mlm 掣
mln 罐
mlo 犋
mlr 秽
mlr 箩
mlr 笕
mls 篾
mlu 衅
mlu 睾
mlu 罅
mlv 熏
mlz 纂
mlz 篡
mm 敌
mm; 牧
mmc 牲
mmc 笙
mmc 甡
mmg 笑
mmh 笔
mmh 牦
mmi 笮
mmj 牿
mmj 筶
mmm 秭
mmm 笫
mmm 毳
mmm 犇
mmm 掱
mmn 矫
mmo 秩
mmr 筅
mmr 簃
mmz 矮
mnc 篁
mnd 符
mnd 氚
mnd 氘
mne 稗
mne 簰
mnh 筏
mni 稚
mni 雉
mnm 筱
mnm 篌
mnp 穆
mnr 篦
mnr 歃
mnw 憩
moa 攵
mob 矬
moc 筌
mod 失
moj 答
moj 黏
mok 黍
mok 劄
mol 稀
mom 掰
mom 搿
mom 稌
mov 签
mow 稔
moy 氛
mph 篯
mpn 稻
mpq 篪
mpv 笊
mpy 稃
mqd 秃
mqg 颓
mqy 筋
mr 称
mrb 穄
mrd 先
mrh 舐
mrj 笱
mrk 黎
mrk 氇
mrl 赞
mro 物
mro 笏
mrr 移
mrr 牝
mrr 篼
mrt 氡
mrv 黧
mrw 稳
mrx 筝
mry 酂
mrz 鸹
msb 穜
mse 辞
mse 穰
msh 牤
msj 稿
msj 篙
msj 犒
msm 簇
mso 氦
msu 笠
msx 稂
msx 筤
msy 牥
msz 篱
mt 乘
mt; 简
mte 科
mtk 剩
mtr 乖
mtr 簏
mua 乎
muc 氧
mue 箪
mug 筷
muk 箭
muk 氆
muk 矰
muo 秋
mur 税
muu 毯
muu 氮
muw 愁
muz 篓
mvd 簿
mvk 籓
mvn 箔
mwb 箜
mwc 篷
mwg 稼
mwj 簉
mwl 篇
mwl 犏
mwm 秘
mwr 秾
mwr 筦
mwv 乏
mwx 管
mwy 笾
mwy 箢
mwz 氨
mxb 秉
mxb 笋
mxb 氢
mxe 阜
mxk 氯
mxk 箓
mxl 簋
mxl 帥
mxo 箫
mxu 簦
mxv 笃
my 气
mya 季
myb 毽
myb 犍
myd 乞
myi 筵
myi 笆
myi 牠
myi 矧
myj 笤
myj 笳
myj 笥
mym 秀
mym 氖
mym 氕
myn 氟
myp 箛
mys 笈
myz 第
mz 么
mz; 委
mzd 私
mzg 篆
mzj 笞
mzm 敏
mzm 毪
mzn 魏
mzn 毓
mzp 簖
mzr 鹅
mzr 鳘
mzv 系
mzx 笯
mzy 每
mzz 繁
n 他
n' 自己
n/ 自己
n; 们
na 使
na; 便
naa 亻
nai 仃
nai 倵
naj 何
nak 例
nal 俪
nam 俨
nan 佰
nao 仗
nas 佤
nb 仁
nba 臼
nbb 佳
nbd 侍
nbe 舁
nbj 僖
nbj 佶
nbk 魅
nbl 盥
nbo 舆
nbo 伕
nbq 毁
nbr 佬
nbs 传
nbs 璺
nbu 侠
nbu 爨
nbv 仕
nbx 伍
nby 伟
nbz 佞
nca 身
ncb 俸
ncd 仨
ncd 俦
nce 佴
ncg 皝
ncg 偰
nch 伥
nck 僵
nck 傣
ncl 债
ncm 傲
ncq 段
ncq 倩
ncr 俵
ncy 倻
ncz 傃
nd 付
nda 川
nds 射
nds 俅
ned 什
ned 隼
nef 牒
neg 牍
nej 估
nej 偌
nek 借
nel 值
nel 偾
nem 做
nem 儆
neo 供
nex 伎
nez 偡
nfa 体
nfd 傅
nff 傈
nfg 儒
nfo 俩
nfo 魉
nfr 鸺
nfu 僳
nfv 休
ng 伏
nga 伾
ngb 佐
ngb 偭
ngd 傉
nge 皋
nge 倴
ngj 倚
ngj 佑
ngk 僚
ngo 顺
ngq 侑
ngr 优
ngs 臭
ngs 魃
ngy 翱
ngz 俺
ngz 侉
nh 代
nhb 侄
nhb 垡
nhb 垈
nhd 皂
nhg 倾
nhg 侥
nhi 伢
nhk 倒
nhk 僭
nhl 贷
nhl 岱
nhm 伐
nhm 牮
nhm 魆
nhn 偕
nho 躯
nho 伛
nhr 仳
nhs 袋
nhv 黛
nhx 佢
nhz 偃
nia 隹
nid 仆
nie 倬
nif 集
nii 佧
nij 售
nil 侦
nim 候
nim 攸
nip 修
niq 脩
nis 倏
niv 焦
niw 悠
nix 叟
nix 俶
niy 翛
nj 促
nja 鬼
njb 堡
njf 保
njg 俣
nji 仲
njj 侣
njn 侃
nju 煲
nk 但
nk; 躺
nka 白
nka 齄
nkb 俚
nkc 皇
nkc 俳
nke 鼾
nkf 倮
nkh 偎
nki 伸
nki 佃
nkj 齁
nkk 倡
nkk 儡
nkk 劓
nkl 倘
nkl 齇
nkn 鼻
nkq 俏
nkq 魈
nkq 鼽
nkr 傥
nkr 偈
nkr 齉
nkv 泉
nkw 偲
nky 舅
nkz 偿
nkz 俜
nkz 癿
nla 自
nld 佣
nld 侗
nld 魍
nlf 臬
nli 帛
nlj 向
nlj 倜
nlk 侧
nll 仙
nln 催
nlo 俱
nlr 儇
nlr 伣
nly 皑
nm 任
nmb 件
nmb 倕
nme 卑
nme 仟
nme 仵
nmi 作
nmj 皓
nmk 俐
nmk 侏
nml 赁
nmn 侨
nmo 佚
nmq 凭
nmr 鹎
nmr 侁
nms 俄
nmw 恁
nmy 伤
nmy 仡
nmy 郫
nmz 侮
nmz 倭
nmz 仫
nne 牌
nne 俾
nne 皞
nni 魋
nnj 魄
nnj 傀
nnk 伯
nnm 皦
nnm 犨
nnn 皛
nnr 傻
nnr 倪
nnv 僬
nny 儁
noc 佺
nod 臾
noj 俗
nok 偷
nol 俙
non 价
noq 佾
nor 伦
nos 囟
nov 俭
now 伶
noy 份
noy 伧
noz 侩
npb 偁
npd 皭
npg 傒
npk 皤
npx 版
npx 皈
npy 俘
nqd 仉
nqf 躲
nql 佩
nqy 仇
nrb 傺
nre 华
nrg 像
nrj 佝
nrl 货
nrr 化
nrr 侈
nrs 低
nrs 囱
nrs 儋
nrs 儳
nrt 佟
nrv 佻
nrv 舄
