; 的
ckm 瑆
ckr 琨
cku 璞
ckv 泰
ckx 珰
ckz 聘
ckz 耦
clb 聃
clc 珇
clg 瑞
cln 璀
clo 责
clz 璎
cmd 寿
cmf 秦
cmh 耗
cmi 聒
cmk 珠
cml 帮
cml 瓒
cml 瑀
cmm 琇
cmo 玫
cmv 焘
cmy 邦
cnb 舂
cnc 瑝
cng 碧
cnh 玳
cni 琟
cnj 瑰
cnk 珀
cnk 瑔
cnm 璬
cnq 瑖
cnw 璁
coa 春
coa 
coi 珩
coj 耠
coj 琀
cok 瑜
con 玠
cop 珍
cov 兲
cow 玲
cow 聆
coy 玢
coy 聬
coy 玱
cpb 髯
cpb 鬃
cpb 髽
cpd 髟
cpf 髹
cpg 髡
cpj 髻
cpj 髫
cpk 璠
cpl 瑶
cpm 髦
cpo 鬓
cpo 鬒
cpr 鬟
cpr 髭
cpu 鬏
cpx 瑗
cpx 瑷
cpx 鬘
cpy 鬈
cpy 琈
cpy 髢
cpz 鬣
cqa 珊
cqd 玑
cql 珮
cql 靓
cqv 玥
cqw 靛
cqx 静
cr 聊
crh 表
crj 珞
crk 珣
cro 麸
crs 麦
crs 玖
crs 玓
cru 麹
crv 珧
crx 琤
cry 艳
csc 斑
cse 璋
cse 瓖
csi 璇
csk 琼
csn 琉
cso 玟
csr 珫
css 耪
csv 玉
csx 琅
csz 璃
ctg 耱
ctj 瑭
cub 瑳
cuc 班
cug 联
cuh 璘
cuo 耿
cuu 琰
cuw 聪
cuz 耧
cv 三
cwa 聍
cwb 琮
cwd 琔
cwf 琛
cwg 璲
cwh 琏
cwh 珲
cwj 瑢
cwk 瑄
cwm 珌
cwn 琎
cwr 耽
cwx 琯
cwy 琬
cxb 肆
cxg 聚
cxg 颞
cxg 玦
cxi 玻
cxj 珺
cxj 琚
cxk 琭
cxl 瑂
cxo 珢
cxs 取
cxu 璒
cxv 玛
cxx 聂
cxx 瑕
cxx 耜
cxy 鄹
cxz 娶
cya 耔
cyb 珽
cyc 聱
cyg 契
cyh 珉
cyi 耙
cyi 螯
cyj 珈
cyj 玿
cyl 赘
cyl 嶅
cym 敖
cym 挈
cyo 玚
cyp 鏊
cyp 璆
cyr 鳌
cys 獒
cyv 熬
cyw 恝
cyx 骜
cyy 珝
cyy 玘
cyy 珕
cyz 絜
czg 瑑
czo 瑙
czy 毒
czz 纛
d 大
d' 大家
d/ 大家
d; 地
da 打
daa 扌
dae 扞
daf 抹
dag 抚
dai 捷
dau 抨
dau 掭
dbb 挂
dbd 持
dbg 撷
dbh 撵
dbi 扛
dbj 捂
dbj 拮
dbo 扶
dbs 抟
dbu 挟
dbz 拷
dcb 捧
